,station,week,zaterdag,zondag,lat,lng,station_link
482,OOSTENDE,7330,5276,5796,51.22919270000001,2.9259354,Oostende
483,OOSTKAMP,230,66,105,51.1541,3.25795,Oostkamp
484,OPWIJK,1197,197,210,50.97469210000001,4.1871632000000005,Opwijk
485,OTTIGNIES,21598,9345,8673,50.67346120000001,4.5694872,Ottignies
486,OUDEGEM,135,9,9,51.01494,4.063429999999999,Oudegem
487,OUDENAARDE,3113,846,825,50.8501383,3.6007621,Oudenaarde
488,OUD-HEVERLEE,128,54,43,50.8354901,4.653360500000002,Oud-Heverlee
489,OVERPELT,237,120,227,51.2155499,5.423249999999999,Overpelt
490,PALISEUL,51,24,53,49.8953564,5.1187094,Paliseul
491,PAPIGNIES,139,25,9,50.6864187,3.823273,Papegem
492,PECROT,168,53,30,50.7784308,4.6514376,Pécrot
493,PEPINSTER,1088,433,427,50.5681336,5.806371,Pepinster
494,PEPINSTER,1088,433,427,50.5681336,5.806371,Pepinster-Cité
495,PEPINSTER-CITE,41,13,15,50.5681336,5.806371,
496,PERUWELZ,621,185,187,50.5134918,3.5916517,Péruwelz
497,PHILIPPEVILLE,368,28,73,50.1914797,4.5361004000000005,Philippeville
498,PIETON,154,23,20,50.4350282,4.288795299999999,Piéton
499,POIX-SAINT-HUBERT,36,7,15,50.0196781,5.292624000000001,Poix-Saint-Hubert
500,PONT-A-CELLES,119,18,8,50.5126995,4.362424499999999,Pont-à-Celles
501,PONT-DE-SERAING,239,10,15,50.6197397,5.510324,Pont-de-Seraing
502,PONT-DE-SERAING,239,10,15,50.6197397,5.510324,Ans
503,POPERINGE,741,389,552,50.8545336,2.7361034,Poperinge
504,POULSEUR,165,55,57,50.52318,5.65602,
505,PROFONDSART,157,59,53,50.6938074,4.5493817000000005,Profondsart
506,PRY,24,9,9,50.26928100000001,4.428807,Pry
507,PUURS,1200,246,225,51.0771585,4.2827318,Puurs
508,QUAREGNON,526,153,156,50.4497618,3.8564836,Quaregnon
509,QUEVY,160,9,9,50.34133320000001,3.9091964,Quevy
510,QUIEVRAIN,472,174,140,50.4101097,3.6863651,Quievrain
511,QUIEVRAIN,472,174,140,50.4101097,3.6863651,Marne-la-Vallée - Chessy
512,QUIEVRAIN,472,174,140,50.4101097,3.6863651,Aéroport Charles-de-Gaulle TGV
513,REBAIX,96,38,4,50.66107879999999,3.7931515,Rebaix
514,REMICOURT,161,58,38,50.6786494,5.3207247,Remicourt
515,RHISNES,194,37,19,50.4993594,4.8019204,Rhisnes
516,RIVAGE,178,62,94,50.50664,5.67023,
517,RIXENSART,1321,299,221,50.711681,4.533330299999999,Rixensart
518,ROESELARE,3066,1151,1331,50.94900379999999,3.1304771,Roeselare
519,RONET,62,10,9,50.4575158,4.8286113,Ronet
520,RONSE/RENAIX,1071,321,300,50.74200949999999,3.6006543,Ronse
521,ROUX,144,23,18,50.4430837,4.3937362,Roux
